"data_id","none_ps_min","none_ps_max","deterministic_truncation_ps_min","deterministic_truncation_ps_max","adaptive_truncation_ps_min","adaptive_truncation_ps_max","isotonic_regression_ps_min","isotonic_regression_ps_max"
"f95982705cf241cca0b70ac5f77d830b",0.00286298734135926,0.98954039812088,0.114446644838088,0.885553355161912,0.00286298734135926,0.98954039812088,0,1
"880c16fe92dc47e7be6364b9b61683d7",0.330071598291397,0.885572910308838,0.330071598291397,0.885553355161912,0.330071598291397,0.731958759508106,0,0.76530612244898
"0413029420264af6ae2c7a5b590abc4f",0.0028324811719358,0.997689723968506,0.114446644838088,0.885553355161912,0.0028324811719358,0.997689723968506,0,1
"31ebc765d29d4a8fb87314df5da32142",0.353849917650223,0.661804139614105,0.353849917650223,0.661804139614105,0.444821737740241,0.555178262259759,0.419491525423729,1
"152b0f64c7d14a158ee593c6aa17c2c6",0.280763566493988,0.610431730747223,0.280763566493988,0.610431730747223,0.478009259197437,0.521990740802563,0.456,0.456
"51f178476f3b46a9998a1f17e78a4d4f",0.00320150796324015,0.993935167789459,0.114446644838088,0.885553355161912,0.00320150796324015,0.993935167789459,0,1
"1620da7d79df4de8bc9d302eba086b53",0.146750316023827,0.603973031044006,0.146750316023827,0.603973031044006,0.171428578894896,0.603973031044006,0.136363636363636,1
"036d648cc6fc42c69930b233ac6b3237",0.00334692536853254,0.996062219142914,0.114446644838088,0.885553355161912,0.0105820086274609,0.989417991372539,0,1
"4d14d490ffd2412bba43b1abbb2ea109",0.00897445064038038,0.992525339126587,0.114446644838088,0.885553355161912,0.00897445064038038,0.992525339126587,0,1
"05675b2d379747ce8cd397dadd61c75d",0.00262558949179947,0.998061716556549,0.114446644838088,0.885553355161912,0.00262558949179947,0.998061716556549,0,1
"31793e7939454540913ec7027f20f6b1",0.00364587758667767,0.996677875518799,0.114446644838088,0.885553355161912,0.00679951740163497,0.993200482598365,0,1
"df0f07dda6a54b13afeb3d29174120af",0.0034777068067342,0.997059345245361,0.114446644838088,0.885553355161912,0.0034777068067342,0.997059345245361,0,1
"c585599ffd04434aa09e9f8b52ae5a16",0.0033714126329869,0.997535467147827,0.114446644838088,0.885553355161912,0.0033714126329869,0.997535467147827,0,1
"f6800fda067a43eba28ca13f27197df2",0.00634534936398268,0.991272151470184,0.114446644838088,0.885553355161912,0.00634534936398268,0.991272151470184,0,1
"30f94de7164b449b9f2f65f7bf868f74",0.154528424143791,0.557387948036194,0.154528424143791,0.557387948036194,0.200000006815761,0.557387948036194,0,0.528610354223433
"0f754ef4d0ec4716a1cd99f70e589e89",0.351284384727478,0.793735265731812,0.351284384727478,0.793735265731812,0.351284384727478,0.699999956729972,0.328638497652582,0.851851851851852
"b7e163620aed4ad3a29ce15bda3318c8",0.29940602183342,0.673931300640106,0.29940602183342,0.673931300640106,0.39424186809121,0.60575813190879,0.333333333333333,0.660550458715596
"943243921a2f47c2b517ded4495dfeb9",0.330043464899063,0.862924933433533,0.330043464899063,0.862924933433533,0.330043464899063,0.829558315226589,0,0.863636363636364
