"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"RMSE",33095.44780427,31312.5307138446,29735.6730432139,31714.5830100171,1000
"ENoRMSE",Inf,Inf,Inf,Inf,1000
"RMSE",35602.2773317551,34014.5652314811,35824.648973681,36126.5489575185,2500
"ENoRMSE",Inf,Inf,Inf,Inf,2500
"RMSE",46029.3418179109,45859.4864802437,46027.6202102239,46161.4345720228,5000
"ENoRMSE",Inf,Inf,Inf,Inf,5000
"RMSE",18112.8785865742,18113.852913845,18113.3184781915,18114.7484496509,10000
"ENoRMSE",Inf,Inf,Inf,Inf,10000
