"","none","deterministic truncation","adaptive truncation","isotonic regression","Platt","direct"
"bias",0.0082249008501697,0.00822497616099663,0.00913732043714072,0.00677842687735779,0.00828229953278598,0.00234780879616596
"RMSE",0.0520367310752723,0.0520367501708842,0.0518361785063217,0.0523281396735018,0.0520536465467896,0.0562729634615526
"ENoRMSE",0.414303547968824,0.414303700003351,0.412706798150888,0.416623670960034,0.414438224758092,0.448031379663663
"cvrg_prob",0.964,0.964,0.964,0.952,0.96,0.96
