"","none","deterministic truncation","adaptive truncation","isotonic regression","Platt","direct"
"bias",0.212134550372264,0.272046624018319,0.21216334818034,0.0966837544211612,0.136106937981236,0.126938209045835
"RMSE",0.223978179335542,0.27535670552461,0.224001371482347,0.115715129672364,0.144572425805184,0.135658444802609
"ENoRMSE",0.297209786397749,0.365386967047154,0.297240561417969,0.153549194278381,0.191841633502129,0.180013149148928
"cvrg_prob",0.18,0,0.18,0.792,0.324,0.616
