"","none","deterministic truncation","adaptive truncation","isotonic regression","Platt","direct"
"bias",0.00675039340644774,0.00675041729358626,0.00717633095599816,0.00618310369398516,0.00696799962535118,0.0029499419058077
"RMSE",0.0131538397874617,0.013153857095423,0.0133935019555722,0.0128611162227505,0.0132470075485827,0.0109654951716506
"ENoRMSE",0.10472761030042,0.104727748102116,0.106635741047881,0.102397017872188,0.10546938890932,0.0873045531679969
"cvrg_prob",0.908,0.908,0.892,0.924,0.908,0.98
