"","none","deterministic truncation","adaptive truncation","isotonic regression","Platt","direct"
"bias",0.011438480374414,0.0114385921264495,0.0122478539980533,0.0102765709067338,0.0118037250990633,0.00509768933688409
"RMSE",0.0609215906686448,0.0609216424931057,0.0608710754067709,0.061135442041602,0.0609351900613539,0.0615638050159912
"ENoRMSE",0.0808404327749877,0.0808405015439052,0.0807734011104036,0.0811242047078877,0.0808584786070156,0.0816926246695849
"cvrg_prob",0.952,0.952,0.96,0.952,0.956,0.968
