"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.0179004410820096,0.00448162658074227,0.00526320756255656,0.00387660929155977
"RMSE",0.0897857864775833,0.0988747994357623,0.0960549690628667,0.100685762976301
