"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.0233049558618644,0.00806882909291028,0.00859789681589174,0.00733298218213111
"RMSE",0.0265167832659294,0.0145261445665522,0.014773296396026,0.0141575909505726
"ENoRMSE",0.0351866753886576,0.0192755934377877,0.0196035537000937,0.0187865380226291
"cvrg_prob",0.92,1,1,1
