"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.376533133006871,0.0671279702878816,0.0362237600470784,0.0185076157375757
"RMSE",0.399785690450682,0.092889570312014,0.0800908877517196,0.0663436385347526
"ENoRMSE",3.18299452249013,0.73956372266925,0.637663786134296,0.528211597118764
"cvrg_prob",0,0.568,0.72,0.972
