"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.375044647232859,0.0558675183088604,0.0234661150468217,0.0310545837720824
"RMSE",0.702976661693572,0.361856387068138,0.350105024909749,0.454703440108531
