"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.0187800926425637,0.00608674136182039,0.00652671966234202,0.00546507038305224
"RMSE",0.0218360335614151,0.0122487785935991,0.0124625712066653,0.012028268008313
"ENoRMSE",0.17385308398743,0.0975217375255952,0.0992239012913153,0.0957660869310842
"cvrg_prob",0.188,0.944,0.94,0.944
