"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.132061760852556,0.125585932586887,0.130729349889581,0.128574482589699,500
"standard deviation",0.0530590169832914,0.0555925678620916,0.0534052439097164,0.0551595962311147,500
"root MSE",0.142320079085329,0.137338057211026,0.1412151287065,0.139904860935484,500
"coverage probability",0.3242,0.3586,0.3298,0.3764,500
"bias",0.0586617271188755,0.0586230670689649,0.0580892071950013,0.0576273920401204,1000
"standard deviation",0.0371990049080394,0.0372056498158223,0.0371960512037085,0.0376972909540102,1000
"root MSE",0.0694599700656754,0.0694308830327997,0.0689755428282204,0.068860132453169,1000
"coverage probability",0.617,0.617,0.6232,0.627,1000
"bias",0.00859252789130542,0.00859252789130542,0.00832092375010671,0.00745787091473023,2000
"standard deviation",0.0274698790450031,0.0274698790450031,0.0274235068396405,0.0275152519154074,2000
"root MSE",0.0287797649653192,0.0287797649653192,0.0286554722469099,0.028505394379512,2000
"coverage probability",0.9108,0.9108,0.9106,0.9106,2000
"bias",0.00741373401618783,0.00741373401618783,0.00762540877809784,0.0080440662088338,3000
"standard deviation",0.0176081069376366,0.0176081069376366,0.0176047374515316,0.0176326124446666,3000
"root MSE",0.0191035827242965,0.0191035827242965,0.0191836298550171,0.0193792115678525,3000
"coverage probability",0.9552,0.9552,0.9534,0.951,3000
"bias",0.0160631709354299,0.0160631709354299,0.016276077349625,0.0161165767826455,4000
"standard deviation",0.0162033725875852,0.0162033725875852,0.0162106423334751,0.0160098546087202,4000
"root MSE",0.0228149563632347,0.0228149563632347,0.0229704824017663,0.022715814506514,4000
"coverage probability",0.8326,0.8326,0.8324,0.8388,4000
"bias",0.0200968563425754,0.0200968563425754,0.0202660410791853,0.0202077134262623,5000
"standard deviation",0.013544025538219,0.013544025538219,0.0135518749462571,0.0134140887225252,5000
"root MSE",0.0242340168876001,0.0242340168876001,0.0243788638972226,0.0242539372189026,5000
"coverage probability",0.759,0.759,0.756,0.7554,5000
